OBG-0338-PLAC_OBG0338-WFP-RNA1,NA,MBTPS2
OBG0166_OBG0166-1-010,Escape,MBTPS2
OBG0068_OBG0068-2-021,NA,MBTPS2
OBG-0050-PLAC_OBG0050-HFP-RNA1,NA,MBTPS2
OBG-0026-PLAC_OBG0026-WFP-RNA1,NA,MBTPS2
OBG0115_OBG0115-1-010,NA,MBTPS2
OBG-0201-PLAC_OBG0201-BFP-RNA1,NA,MBTPS2
OBG0044_OBG0044-1-010,Escape,MBTPS2
OBG0133_OBG0133-1-020,NA,MBTPS2
OBG-0188-PLAC_OBG0188-BFP-RNA2,Escape,MBTPS2
OBG-0342-PLAC_OBG0342-WFP-RNA1,Escape,MBTPS2
OBG-0188-PLAC_OBG0188-BFP-RNA1,Inactivated,MBTPS2
OBG-0338-PLAC_OBG0338-WFP-RNA2,NA,MBTPS2
OBG-0180-PLAC_OBG0180-AFP-RNA1,NA,MBTPS2
OBG0133_OBG0133-2-021,NA,MBTPS2
OBG0178_OBG0178-1-020,NA,MBTPS2
OBG0166_OBG0166-2-011,Escape,MBTPS2
OBG0115_OBG0115-2-011,NA,MBTPS2
OBG-0205-PLAC_OBG0205-AFP-RNA1,Inactivated,MBTPS2
OBG0178_OBG0178-2-021,NA,MBTPS2
OBG-0205-PLAC_OBG0205-AFP-RNA2,Escape,MBTPS2
OBG-0030-PLAC_OBG0030-BFP-RNA2,Escape,MBTPS2
OBG-0024-PLAC_OBG0024-WFP-RNA1,Escape,MBTPS2
OBG-0030-PLAC_OBG0030-BFP-RNA1,Inactivated,MBTPS2
OBG-0180-PLAC_OBG0180-AFP-RNA2,NA,MBTPS2
OBG-0289-PLAC_OBG0289-BFP-RNA2,NA,MBTPS2
OBG-0050-PLAC_OBG0050-HFP-RNA2,NA,MBTPS2
OBG0068_OBG0068-1-020,NA,MBTPS2
OBG0044_OBG0044-2-011,Escape,MBTPS2
OBG-0026-PLAC_OBG0026-WFP-RNA2,NA,MBTPS2
OBG-0022-PLAC_OBG0022-WFP-RNA1,Escape,MBTPS2
OBG-0028-PLAC_OBG0028-WFP-RNA2,Escape,MBTPS2
OBG0170_OBG0170-2-021,Escape,MBTPS2
OBG0120_OBG0120-1-010,NA,MBTPS2
OBG-0138-PLAC_OBG0138-AFP-RNA2,NA,MBTPS2
OBG-0024-PLAC_OBG0024-WFP-RNA2,Escape,MBTPS2
OBG0174_OBG0174-1-020,Escape,MBTPS2
OBG-0201-PLAC_OBG0201-BFP-RNA2,NA,MBTPS2
OBG0174_OBG0174-2-011,Inactivated,MBTPS2
OBG-0138-PLAC_OBG0138-AFP-RNA1,Escape,MBTPS2
OBG-0022-PLAC_OBG0022-WFP-RNA2,Inactivated,MBTPS2
OBG0120_OBG0120-2-011,NA,MBTPS2
OBG-0342-PLAC_OBG0342-WFP-RNA2,Inactivated,MBTPS2
OBG0170_OBG0170-1-020,Inactivated,MBTPS2
OBG-0289-PLAC_OBG0289-BFP-RNA1,NA,MBTPS2
OBG-0028-PLAC_OBG0028-WFP-RNA1,Escape,MBTPS2
OBG-0338-PLAC_OBG0338-WFP-RNA1,Inactivated,SMS
OBG0166_OBG0166-1-010,NA,SMS
OBG0068_OBG0068-2-021,NA,SMS
OBG-0050-PLAC_OBG0050-HFP-RNA1,NA,SMS
OBG-0026-PLAC_OBG0026-WFP-RNA1,NA,SMS
OBG0115_OBG0115-1-010,NA,SMS
OBG-0201-PLAC_OBG0201-BFP-RNA1,NA,SMS
OBG0044_OBG0044-1-010,NA,SMS
OBG0133_OBG0133-1-020,NA,SMS
OBG-0188-PLAC_OBG0188-BFP-RNA2,Inactivated,SMS
OBG-0342-PLAC_OBG0342-WFP-RNA1,Escape,SMS
OBG-0188-PLAC_OBG0188-BFP-RNA1,NA,SMS
OBG-0338-PLAC_OBG0338-WFP-RNA2,NA,SMS
OBG-0180-PLAC_OBG0180-AFP-RNA1,NA,SMS
OBG0133_OBG0133-2-021,NA,SMS
OBG0178_OBG0178-1-020,Escape,SMS
OBG0166_OBG0166-2-011,NA,SMS
OBG0115_OBG0115-2-011,NA,SMS
OBG-0205-PLAC_OBG0205-AFP-RNA1,NA,SMS
OBG0178_OBG0178-2-021,NA,SMS
OBG-0205-PLAC_OBG0205-AFP-RNA2,NA,SMS
OBG-0030-PLAC_OBG0030-BFP-RNA2,Escape,SMS
OBG-0024-PLAC_OBG0024-WFP-RNA1,NA,SMS
OBG-0030-PLAC_OBG0030-BFP-RNA1,NA,SMS
OBG-0180-PLAC_OBG0180-AFP-RNA2,NA,SMS
OBG-0289-PLAC_OBG0289-BFP-RNA2,Escape,SMS
OBG-0050-PLAC_OBG0050-HFP-RNA2,Escape,SMS
OBG0068_OBG0068-1-020,NA,SMS
OBG0044_OBG0044-2-011,NA,SMS
OBG-0026-PLAC_OBG0026-WFP-RNA2,NA,SMS
OBG-0022-PLAC_OBG0022-WFP-RNA1,Escape,SMS
OBG-0028-PLAC_OBG0028-WFP-RNA2,Escape,SMS
OBG0170_OBG0170-2-021,NA,SMS
OBG0120_OBG0120-1-010,NA,SMS
OBG-0138-PLAC_OBG0138-AFP-RNA2,Inactivated,SMS
